Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15595209	PA0011	NP_248701.1	lipid A biosynthesis lauroyl acyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053731	PA14_00120	WP_003097282.1	lipid A biosynthesis lauroyl acyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595210	PA0012	NP_248702.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053732	PA14_00130	WP_003114645.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595211	PA0013	NP_248703.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053733	PA14_00140	WP_003142200.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595212	PA0014	NP_248704.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053734	PA14_00150	WP_003142201.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595213	PA0015	NP_248705.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053735	PA14_00160	WP_031632885.1	TPR repeat-containing protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595214	PA0016	NP_248706.1	potassium transporter peripheral membrane component	57977	Pseudomonas aeruginosa UCBPP-PA14	116053736	PA14_00170	WP_003111375.1	potassium transporter peripheral membrane component				
rbb	57945	Pseudomonas aeruginosa PAO1	15595215	PA0017	NP_248707.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053737	PA14_00180	WP_003142203.1	putative tRNA and rRNA cytosine-C5-methylases				
rbb	57945	Pseudomonas aeruginosa PAO1	15595216	PA0018	NP_248708.1	methionyl-tRNA formyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053738	PA14_00190	WP_003142204.1	methionyl-tRNA formyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595217	PA0019	NP_248709.1	peptide deformylase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053739	PA14_00200	WP_003097293.1	peptide deformylase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595218	PA0020	NP_248710.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053740	PA14_00210	WP_003097294.1	lysin domain-containing protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595219	PA0021	NP_248711.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053741	PA14_00230	WP_003142205.1	putative Rossmann fold nucleotide-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595220	PA0022	NP_248712.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053742	PA14_00240	WP_003097300.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595221	PA0023	NP_248713.1	quinone oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053743	PA14_00250	WP_003097303.1	quinone oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595222	PA0024	NP_248714.1	coproporphyrinogen III oxidase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053744	PA14_00280	WP_003097311.1	coproporphyrinogen III oxidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595223	PA0025	NP_248715.1	shikimate 5-dehydrogenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053745	PA14_00290	WP_003097314.1	shikimate 5-dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595224	PA0026	NP_248716.1	phospholipase C, PlcB	57977	Pseudomonas aeruginosa UCBPP-PA14	116053746	PA14_00300	WP_003097316.1	phospholipase C, PlcB				
rbb	57945	Pseudomonas aeruginosa PAO1	15595225	PA0027	NP_248717.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053747	PA14_00310	WP_003142206.1	putative peptidyl-prolyl isomerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595226	PA0028	NP_248718.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053748	PA14_00320	WP_003131389.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595227	PA0029	NP_248719.1	sulfate transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053749	PA14_00340	WP_003097320.1	putative sulfate transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595228	PA0030	NP_248720.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053750	PA14_00360	WP_003097322.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595229	PA0031	NP_248721.1	choline sulfatase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053751	PA14_00380	WP_003142209.1	choline sulfatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595230	PA0032	NP_248722.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053752	PA14_00400	WP_003111194.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595231	PA0033	NP_248723.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053754	PA14_00420	WP_003097330.1	histidine phosphotransfer domain-containing protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595232	PA0034	NP_248724.1	two-component response regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053755	PA14_00430	WP_003111192.1	putative two-component response regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595233	PA0035	NP_248725.1	tryptophan synthase subunit alpha	57977	Pseudomonas aeruginosa UCBPP-PA14	116053756	PA14_00440	WP_003097337.1	tryptophan synthase subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15595234	PA0036	NP_248726.1	tryptophan synthase subunit beta	57977	Pseudomonas aeruginosa UCBPP-PA14	116053757	PA14_00450	WP_003142212.1	tryptophan synthase subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595235	PA0037	NP_248727.1	transcriptional regulator TrpI	57977	Pseudomonas aeruginosa UCBPP-PA14	116053758	PA14_00460	WP_031632881.1	transcriptional regulator TrpI				
rbb	57945	Pseudomonas aeruginosa PAO1	15595236	PA0038	NP_248728.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053759	PA14_00470	WP_003097345.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595237	PA0039	NP_248729.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053760	PA14_00480	WP_003108017.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595238	PA0040	NP_248730.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053761	PA14_00490	WP_011666522.1	putative hemolysin activation/secretion protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595239	PA0041	NP_248731.1	hemagglutinin	57977	Pseudomonas aeruginosa UCBPP-PA14	116053762	PA14_00510	WP_031641739.1	putative hemagglutinin				
rbb	57945	Pseudomonas aeruginosa PAO1	15595240	PA0042	NP_248732.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053764	PA14_00530	WP_003083536.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595241	PA0043	NP_248733.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053765	PA14_00550	WP_016254350.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595242	PA0044	NP_248734.1	exoenzyme T	57977	Pseudomonas aeruginosa UCBPP-PA14	116053766	PA14_00560	WP_003136948.1	exoenzyme T				
rbb	57945	Pseudomonas aeruginosa PAO1	15595243	PA0045	NP_248735.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053767	PA14_00570	WP_003083559.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595244	PA0046	NP_248736.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053768	PA14_00580	WP_003083569.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595245	PA0047	NP_248737.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053769	PA14_00590	WP_003083573.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595246	PA0048	NP_248738.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053770	PA14_00600	WP_003104304.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595247	PA0049	NP_248739.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053771	PA14_00620	WP_003136949.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595248	PA0050	NP_248740.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053772	PA14_00630	WP_003083582.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595249	PA0051	NP_248741.1	potential phenazine-modifying enzyme	57977	Pseudomonas aeruginosa UCBPP-PA14	116053773	PA14_00640	WP_003111526.1	potential phenazine-modifying enzyme				
rbb	57945	Pseudomonas aeruginosa PAO1	15595250	PA0052	NP_248742.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053774	PA14_00650	WP_003083588.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595252	PA0054	NP_248744.1	RNA 2'-phosphotransferase-like protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053775	PA14_00660	WP_003136950.1	RNA 2'-phosphotransferase-like protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595253	PA0055	NP_248745.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053776	PA14_00670	WP_003083593.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595254	PA0056	NP_248746.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053777	PA14_00680	WP_003128174.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595255	PA0057	NP_248747.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053778	PA14_00690	WP_003083599.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595256	PA0058	NP_248748.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053779	PA14_00700	WP_003136951.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595257	PA0059	NP_248749.1	osmotically inducible protein OsmC	57977	Pseudomonas aeruginosa UCBPP-PA14	116053780	PA14_00710	WP_003083605.1	osmotically inducible protein OsmC				
rbb	57945	Pseudomonas aeruginosa PAO1	15595258	PA0060	NP_248750.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053781	PA14_00720	WP_003114662.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595259	PA0061	NP_248751.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053782	PA14_00730	WP_003083612.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595260	PA0062	NP_248752.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053783	PA14_00740	WP_011666524.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595261	PA0063	NP_248753.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053784	PA14_00750	WP_031627644.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595262	PA0064	NP_248754.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053785	PA14_00760	WP_003114660.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595263	PA0065	NP_248755.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053786	PA14_00770	WP_003106611.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595264	PA0066	NP_248756.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053787	PA14_00780	WP_003106612.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595265	PA0067	NP_248757.1	oligopeptidase A	57977	Pseudomonas aeruginosa UCBPP-PA14	116053788	PA14_00790	WP_003136955.1	oligopeptidase A				
rbb	57945	Pseudomonas aeruginosa PAO1	15595266	PA0068	NP_248758.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053789	PA14_00800	WP_003083624.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595267	PA0069	NP_248759.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053790	PA14_00810	WP_003083628.1	putative DNA repair photolyase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595268	PA0070	NP_248760.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053791	PA14_00820	WP_003083630.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595269	PA0071	NP_248761.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053792	PA14_00830	WP_003083632.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595270	PA0072	NP_248762.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053793	PA14_00850	WP_003136958.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595271	PA0073	NP_248763.1	ATP-binding component of ABC transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053794	PA14_00860	WP_031627645.1	putative ATP-binding component of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595272	PA0074	NP_248764.1	serine/threonine protein kinase PpkA	57977	Pseudomonas aeruginosa UCBPP-PA14	116054435	PA14_00875	WP_003136961.1	serine/threonine protein kinase PpkA				
rbb	57945	Pseudomonas aeruginosa PAO1	15595273	PA0075	NP_248765.1	PppA	57977	Pseudomonas aeruginosa UCBPP-PA14	116053795	PA14_00890	WP_003083639.1	putative phosphoprotein phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595274	PA0076	NP_248766.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053796	PA14_00900	WP_003083642.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595275	PA0077	NP_248767.1	IcmF1	57977	Pseudomonas aeruginosa UCBPP-PA14	116053797	PA14_00910	WP_003111851.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595276	PA0078	NP_248768.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116054405	PA14_00925	WP_003115051.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595277	PA0079	NP_248769.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053798	PA14_00940	WP_003115052.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595278	PA0080	NP_248770.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053799	PA14_00960	WP_003083660.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595279	PA0081	NP_248771.1	Fha1	57977	Pseudomonas aeruginosa UCBPP-PA14	116053801	PA14_00980	YP_788238.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595280	PA0082	NP_248772.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053802	PA14_00990	WP_003111627.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595281	PA0083	NP_248773.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053803	PA14_01010	WP_003083666.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595282	PA0084	NP_248774.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053804	PA14_01020	WP_003111626.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595283	PA0085	NP_248775.1	Hcp1	57977	Pseudomonas aeruginosa UCBPP-PA14	116053805	PA14_01030	WP_003083670.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595284	PA0086	NP_248776.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053806	PA14_01040	WP_003083672.1	putative secretion protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595285	PA0087	NP_248777.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053807	PA14_01060	WP_003111625.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595286	PA0088	NP_248778.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053808	PA14_01070	WP_003083676.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595287	PA0089	NP_248779.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053809	PA14_01080	WP_003104969.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595288	PA0090	NP_248780.1	ClpV1	57977	Pseudomonas aeruginosa UCBPP-PA14	116053810	PA14_01100	WP_003136970.1	putative ClpA/B-type chaperone				
rbb	57945	Pseudomonas aeruginosa PAO1	15595289	PA0091	NP_248781.1	VgrG1	57977	Pseudomonas aeruginosa UCBPP-PA14	116053811	PA14_01110	WP_015502131.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595290	PA0092	NP_248782.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053812	PA14_01120	WP_003111794.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595291	PA0093	NP_248783.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053814	PA14_01140	WP_003083691.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595292	PA0094	NP_248784.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053815	PA14_01150	WP_003083692.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595293	PA0095	NP_248785.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053816	PA14_01160	WP_011666529.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595294	PA0096	NP_248786.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053817	PA14_01170	WP_003136987.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595295	PA0097	NP_248787.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053818	PA14_01180	WP_016254347.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595296	PA0098	NP_248788.1	3-oxoacyl-(acyl carrier protein) synthase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053819	PA14_01190	WP_003136990.1	3-oxoacyl-(acyl carrier protein) synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595297	PA0099	NP_248789.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053820	PA14_01200	WP_003136992.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595298	PA0100	NP_248790.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053821	PA14_01220	WP_003136994.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595299	PA0101	NP_248791.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053822	PA14_01230	WP_003136996.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595300	PA0102	NP_248792.1	carbonic anhydrase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053823	PA14_01240	WP_003083701.1	carbonic anhydrase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595301	PA0103	NP_248793.1	sulfate transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116053824	PA14_01250	WP_003136999.1	putative sulfate transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595302	PA0104	NP_248794.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053825	PA14_01270	YP_788262.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595303	PA0105	NP_248795.1	cytochrome C oxidase subunit II	57977	Pseudomonas aeruginosa UCBPP-PA14	116053826	PA14_01290	WP_003101203.1	cytochrome c oxidase, subunit II				
rbb	57945	Pseudomonas aeruginosa PAO1	15595304	PA0106	NP_248796.1	cytochrome C oxidase subunit I	57977	Pseudomonas aeruginosa UCBPP-PA14	116053827	PA14_01300	WP_003083723.1	cytochrome c oxidase, subunit I				
rbb	57945	Pseudomonas aeruginosa PAO1	15595305	PA0107	NP_248797.1	cytochrome C oxidase assembly protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053828	PA14_01310	WP_003083725.1	cytochrome C oxidase assembly protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595306	PA0108	NP_248798.1	cytochrome C oxidase subunit III	57977	Pseudomonas aeruginosa UCBPP-PA14	116053829	PA14_01320	WP_003083728.1	cytochrome c oxidase, subunit III				
rbb	57945	Pseudomonas aeruginosa PAO1	15595307	PA0109	NP_248799.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053830	PA14_01330	WP_003110653.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595308	PA0110	NP_248800.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053831	PA14_01340	WP_003115031.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595309	PA0111	NP_248801.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053832	PA14_01350	WP_003101218.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595310	PA0112	NP_248802.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053833	PA14_01360	WP_003137003.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595311	PA0113	NP_248803.1	protoheme IX farnesyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053834	PA14_01380	WP_003083746.1	protoheme IX farnesyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595312	PA0114	NP_248804.1	SenC	57977	Pseudomonas aeruginosa UCBPP-PA14	116053835	PA14_01390	WP_003083748.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595313	PA0115	NP_248805.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053836	PA14_01400	WP_003083750.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595314	PA0116	NP_248806.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053837	PA14_01410	WP_003083753.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595315	PA0117	NP_248807.1	short-chain dehydrogenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053838	PA14_01430	WP_003083755.1	putative short chain dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595316	PA0118	NP_248808.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053839	PA14_01440	WP_003083757.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595317	PA0119	NP_248809.1	C4-dicarboxylate transporter DctA	57977	Pseudomonas aeruginosa UCBPP-PA14	116053840	PA14_01460	WP_003083759.1	C4-dicarboxylate transporter DctA				
rbb	57945	Pseudomonas aeruginosa PAO1	15595318	PA0120	NP_248810.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053841	PA14_01470	WP_003083762.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595319	PA0121	NP_248811.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053842	PA14_01480	WP_003110658.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595320	PA0122	NP_248812.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053843	PA14_01490	WP_003110659.1	putative hemolysin				
rbb	57945	Pseudomonas aeruginosa PAO1	15595321	PA0123	NP_248813.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116053844	PA14_01500	WP_003083769.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595322	PA0124	NP_248814.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053845	PA14_01510	WP_003083773.1	hypothetical protein				
